id         ,title                                                                                                                                                                                   ,categories                                               ,abstract                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,doi                                                                     ,created    ,updated    ,authors
2201.01666 ,sample efficient deep reinforcement learning via uncertainty estimation                                                                                                                 ,cs.lg cs.ai cs.ro                                        ,"in model-free deep reinforcement learning (rl) algorithms, using noisy value estimates to supervise policy evaluation and optimization is detrimental to the sample efficiency. as this noise is heteroscedastic, its effects can be mitigated using uncertainty-based weights in the optimization process. previous methods rely on sampled ensembles, which do not capture all aspects of uncertainty. we provide a systematic analysis of the sources of uncertainty in the noisy supervision that occurs in rl, and introduce inverse-variance rl, a bayesian framework which combines probabilistic ensembles and batch inverse variance weighting. we propose a method whereby two complementary uncertainty estimation methods account for both the q-value and the environment stochasticity to better mitigate the negative impacts of noisy supervision. our results show significant improvement in terms of sample efficiency on discrete and continuous control tasks."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                                                                        ,2022-01-05 ,2022-05-03 ,"['vincent mai', 'kaustubh mani', 'liam paull']"
2201.02445 ,negative evidence matters in interpretable histology image   classification                                                                                                             ,eess.iv cs.cv cs.lg                                      ,"using only global image-class labels, weakly-supervised learning methods, such as class activation mapping, allow training cnns to jointly classify an image, and locate regions of interest associated with the predicted class. however, without any guidance at the pixel level, such methods may yield inaccurate regions. this problem is known to be more challenging with histology images than with natural ones, since objects are less salient, structures have more variations, and foreground and background regions have stronger similarities. therefore, computer vision methods for visual interpretation of cnns may not directly apply. in this paper, a simple yet efficient method based on a composite loss is proposed to learn information from the fully negative samples (i.e., samples without positive regions), and thereby reduce false positives/negatives. our new loss function contains two complementary terms: the first exploits positive evidence collected from the cnn classifier, while the second leverages the fully negative samples from training data. in particular, a pre-trained cnn is equipped with a decoder that allows refining the regions of interest. the cnn is exploited to collect both positive and negative evidence at the pixel level to train the decoder. our method called negev benefits from the fully negative samples that naturally occur in the data, without any additional supervision signals beyond image-class labels. extensive experiments show that our proposed method can substantial outperform related state-of-art methods on glas (public benchmark for colon cancer), and camelyon16 (patch-based benchmark for breast cancer using three different backbones). our results highlight the benefits of using both positive and negative evidence, the first obtained from a classifier, and the other naturally available in datasets."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,                                                                        ,2022-01-07 ,2022-05-05 ,"['soufiane belharbi', 'marco pedersoli', 'ismail ben ayed', 'luke mccaffrey', 'eric granger']"
2201.02863 ,pocketnn: integer-only training and inference of neural networks via   direct feedback alignment and pocket activations in pure c++                                                     ,cs.lg cs.ai                                              ,"standard deep learning algorithms are implemented using floating-point real numbers. this presents an obstacle for implementing them on low-end devices which may not have dedicated floating-point units (fpus). as a result, researchers in tinyml have considered machine learning algorithms that can train and run a deep neural network (dnn) on a low-end device using integer operations only. in this paper we propose pocketnn, a light and self-contained proof-of-concept framework in pure c++ for the training and inference of dnns using only integers. unlike other approaches, pocketnn directly operates on integers without requiring any explicit quantization algorithms or customized fixed-point formats. this was made possible by pocket activations, which are a family of activation functions devised for integer-only dnns, and an emerging dnn training algorithm called direct feedback alignment (dfa). unlike the standard backpropagation (bp), dfa trains each layer independently, thus avoiding integer overflow which is a key problem when using bp with integer-only operations. we used pocketnn to train some dnns on two well-known datasets, mnist and fashion-mnist. our experiments show that the dnns trained with our pocketnn achieved 96.98% and 87.7% accuracies on mnist and fashion-mnist datasets, respectively. the accuracies are very close to the equivalent dnns trained using bp with floating-point real number operations, such that accuracy degradations were just 1.02%p and 2.09%p, respectively. finally, our pocketnn has high compatibility and portability for low-end devices as it is open source and implemented in pure c++ without any dependencies."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                        ,2022-01-08 ,2022-05-03 ,"['jaewoo song', 'fangzhen lin']"
2201.04669 ,on neural network kernels and the storage capacity problem                                                                                                                              ,cond-mat.dis-nn cs.lg                                    ,"in this short note, we reify the connection between work on the storage capacity problem in wide two-layer treelike neural networks and the rapidly-growing body of literature on kernel limits of wide neural networks. concretely, we observe that the ""effective order parameter"" studied in the statistical mechanics literature is exactly equivalent to the infinite-width neural network gaussian process kernel. this correspondence connects the expressivity and trainability of wide two-layer neural networks."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,10.1162/neco_a_01494                                                    ,2022-01-12 ,           ,"['jacob a. zavatone-veth', 'cengiz pehlevan']"
2201.05279 ,manifoldron: direct space partition via manifold discovery                                                                                                                              ,cs.lg cs.cv                                              ,"a neural network with the widely-used relu activation has been shown to partition the sample space into many convex polytopes for prediction. however, the parameterized way a neural network and other machine learning models use to partition the space has imperfections, \textit{e}.\textit{g}., the compromised interpretability for complex models, the inflexibility in decision boundary construction due to the generic character of the model, and the risk of being trapped into shortcut solutions. in contrast, although the non-parameterized models can adorably avoid or downplay these issues, they are usually insufficiently powerful either due to over-simplification or the failure to accommodate the manifold structures of data. in this context, we first propose a new type of machine learning models referred to as manifoldron that directly derives decision boundaries from data and partitions the space via manifold structure discovery. then, we systematically analyze the key characteristics of the manifoldron such as manifold characterization capability and its link to neural networks. the experimental results on 4 synthetic examples, 20 public benchmark datasets, and 1 real-world application demonstrate that the proposed manifoldron performs competitively compared to the mainstream machine learning models. we have shared our code in \url{https://github.com/wdayang/manifoldron} for free download and evaluation."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,                                                                        ,2022-01-13 ,2022-05-02 ,"['dayang wang', 'feng-lei fan', 'bo-jian hou', 'hao zhang', 'zhen jia', 'boce zhou', 'rongjie lai', 'hengyong yu', 'fei wang']"
2201.05989 ,instant neural graphics primitives with a multiresolution hash encoding                                                                                                                 ,cs.cv cs.gr cs.lg                                        ,"neural graphics primitives, parameterized by fully connected neural networks, can be costly to train and evaluate. we reduce this cost with a versatile new input encoding that permits the use of a smaller network without sacrificing quality, thus significantly reducing the number of floating point and memory access operations: a small neural network is augmented by a multiresolution hash table of trainable feature vectors whose values are optimized through stochastic gradient descent. the multiresolution structure allows the network to disambiguate hash collisions, making for a simple architecture that is trivial to parallelize on modern gpus. we leverage this parallelism by implementing the whole system using fully-fused cuda kernels with a focus on minimizing wasted bandwidth and compute operations. we achieve a combined speedup of several orders of magnitude, enabling training of high-quality neural graphics primitives in a matter of seconds, and rendering in tens of milliseconds at a resolution of ${1920\!\times\!1080}$."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,10.1145/3528223.3530127                                                 ,2022-01-16 ,2022-05-04 ,"['thomas müller', 'alex evans', 'christoph schied', 'alexander keller']"
2201.06503 ,analytic-dpm: an analytic estimate of the optimal reverse variance in   diffusion probabilistic models                                                                                  ,cs.lg                                                    ,"diffusion probabilistic models (dpms) represent a class of powerful generative models. despite their success, the inference of dpms is expensive since it generally needs to iterate over thousands of timesteps. a key problem in the inference is to estimate the variance in each timestep of the reverse process. in this work, we present a surprising result that both the optimal reverse variance and the corresponding optimal kl divergence of a dpm have analytic forms w.r.t. its score function. building upon it, we propose analytic-dpm, a training-free inference framework that estimates the analytic forms of the variance and kl divergence using the monte carlo method and a pretrained score-based model. further, to correct the potential bias caused by the score-based model, we derive both lower and upper bounds of the optimal variance and clip the estimate for a better result. empirically, our analytic-dpm improves the log-likelihood of various dpms, produces high-quality samples, and meanwhile enjoys a 20x to 80x speed up."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,                                                                        ,2022-01-17 ,2022-05-03 ,"['fan bao', 'chongxuan li', 'jun zhu', 'bo zhang']"
2201.07912 ,communication-efficient device scheduling for federated learning using   stochastic optimization                                                                                        ,cs.lg cs.dc cs.it math.it stat.ml                        ,"federated learning (fl) is a useful tool in distributed machine learning that utilizes users' local datasets in a privacy-preserving manner. when deploying fl in a constrained wireless environment; however, training models in a time-efficient manner can be a challenging task due to intermittent connectivity of devices, heterogeneous connection quality, and non-i.i.d. data. in this paper, we provide a novel convergence analysis of non-convex loss functions using fl on both i.i.d. and non-i.i.d. datasets with arbitrary device selection probabilities for each round. then, using the derived convergence bound, we use stochastic optimization to develop a new client selection and power allocation algorithm that minimizes a function of the convergence bound and the average communication time under a transmit power constraint. we find an analytical solution to the minimization problem. one key feature of the algorithm is that knowledge of the channel statistics is not required and only the instantaneous channel state information needs to be known. using the femnist and cifar-10 datasets, we show through simulations that the communication time can be significantly decreased using our algorithm, compared to uniformly random participation."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                        ,2022-01-19 ,2022-05-04 ,"['jake perazzone', 'shiqiang wang', 'mingyue ji', 'kevin chan']"
2201.08690 ,a deep learning energy method for hyperelasticity and viscoelasticity                                                                                                                   ,cs.lg cs.na math.na                                      ,"the potential energy formulation and deep learning are merged to solve partial differential equations governing the deformation in hyperelastic and viscoelastic materials. the presented deep energy method (dem) is self-contained and meshfree. it can accurately capture the three-dimensional (3d) mechanical response without requiring any time-consuming training data generation by classical numerical methods such as the finite element method. once the model is appropriately trained, the response can be attained almost instantly at any point in the physical domain, given its spatial coordinates. therefore, the deep energy method is potentially a promising standalone method for solving partial differential equations describing the mechanical deformation of materials or structural systems and other physical phenomena."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,10.1016/j.euromechsol.2022.104639                                       ,2022-01-15 ,           ,"['diab w. abueidda', 'seid koric', 'rashid abu al-rub', 'corey m. parrott', 'kai a. james', 'nahil a. sobh']"
2201.12126 ,leveraging class abstraction for commonsense reinforcement learning via   residual policy gradient methods                                                                              ,cs.ai cs.lg                                              ,"enabling reinforcement learning (rl) agents to leverage a knowledge base while learning from experience promises to advance rl in knowledge intensive domains. however, it has proven difficult to leverage knowledge that is not manually tailored to the environment. we propose to use the subclass relationships present in open-source knowledge graphs to abstract away from specific objects. we develop a residual policy gradient method that is able to integrate knowledge across different abstraction levels in the class hierarchy. our method results in improved sample efficiency and generalisation to unseen objects in commonsense games, but we also investigate failure modes, such as excessive noise in the extracted class knowledge or environments with little class structure."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,                                                                        ,2022-01-28 ,2022-05-01 ,"['niklas höpner', 'ilaria tiddi', 'herke van hoof']"
2201.12384 ,developing a machine-learning algorithm to diagnose age-related macular   degeneration                                                                                                  ,eess.iv cs.cv cs.lg                                      ,"today, more than 12 million people over the age of 40 suffer from ocular diseases. most commonly, older patients are susceptible to age related macular degeneration, an eye disease that causes blurring of the central vision due to the deterioration of the retina. the former can only be detected through complex and expensive imaging software, markedly a visual field test; this leaves a significant population with untreated eye disease and holds them at risk for complete vision loss. the use of machine learning algorithms has been proposed for treating eye disease. however, the development of these models is limited by a lack of understanding regarding appropriate model and training parameters to maximize model performance. in our study, we address these points by generating 6 models, each with a learning rate of 1 * 10^n where n is 0, -1, -2, ... -6, and calculated a f1 score for each of the models. our analysis shows that sample imbalance is a key challenge in training of machine learning models and can result in deceptive improvements in training cost which does not translate to true improvements in model predictive performance. considering the wide ranging impact of the disease and its adverse effects, we developed a machine learning algorithm to treat the same. we trained our model on varying eye disease datasets consisting of over 5000 patients, and the pictures of their infected eyes. in the future, we hope this model is used extensively, especially in areas that are under-resourced, to better diagnose eye disease and improve well being for humanity."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,                                                                        ,2022-01-28 ,           ,"['ananya dua', 'pham hung minh', 'sajid fahmid', 'shikhar gupta', 'sophia zheng', 'vanessa moyo', 'yanran elisa xue']"
2201.13178 ,few-shot backdoor attacks on visual object tracking                                                                                                                                     ,cs.cv cs.ai cs.cr cs.lg                                  ,"visual object tracking (vot) has been widely adopted in mission-critical applications, such as autonomous driving and intelligent surveillance systems. in current practice, third-party resources such as datasets, backbone networks, and training platforms are frequently used to train high-performance vot models. whilst these resources bring certain convenience, they also introduce new security threats into vot models. in this paper, we reveal such a threat where an adversary can easily implant hidden backdoors into vot models by tempering with the training process. specifically, we propose a simple yet effective few-shot backdoor attack (fsba) that optimizes two losses alternately: 1) a \emph{feature loss} defined in the hidden feature space, and 2) the standard \emph{tracking loss}. we show that, once the backdoor is embedded into the target model by our fsba, it can trick the model to lose track of specific objects even when the \emph{trigger} only appears in one or a few frames. we examine our attack in both digital and physical-world settings and show that it can significantly degrade the performance of state-of-the-art vot trackers. we also show that our attack is resistant to potential defenses, highlighting the vulnerability of vot models to potential backdoor attacks."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                        ,2022-01-31 ,2022-05-04 ,"['yiming li', 'haoxiang zhong', 'xingjun ma', 'yong jiang', 'shu-tao xia']"
2202.00273 ,stylegan-xl: scaling stylegan to large diverse datasets                                                                                                                                 ,cs.lg cs.cv                                              ,"computer graphics has experienced a recent surge of data-centric approaches for photorealistic and controllable content creation. stylegan in particular sets new standards for generative modeling regarding image quality and controllability. however, stylegan's performance severely degrades on large unstructured datasets such as imagenet. stylegan was designed for controllability; hence, prior works suspect its restrictive design to be unsuitable for diverse datasets. in contrast, we find the main limiting factor to be the current training strategy. following the recently introduced projected gan paradigm, we leverage powerful neural network priors and a progressive growing strategy to successfully train the latest stylegan3 generator on imagenet. our final model, stylegan-xl, sets a new state-of-the-art on large-scale image synthesis and is the first to generate images at a resolution of $1024^2$ at such a dataset scale. we demonstrate that this model can invert and edit images beyond the narrow domain of portraits or specific object classes."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                        ,2022-02-01 ,2022-05-05 ,"['axel sauer', 'katja schwarz', 'andreas geiger']"
2202.00339 ,quantifying relevance in learning and inference                                                                                                                                         ,cs.lg cond-mat.dis-nn physics.data-an stat.ml            ,"learning is a distinctive feature of intelligent behaviour. high-throughput experimental data and big data promise to open new windows on complex systems such as cells, the brain or our societies. yet, the puzzling success of artificial intelligence and machine learning shows that we still have a poor conceptual understanding of learning. these applications push statistical inference into uncharted territories where data is high-dimensional and scarce, and prior information on ""true"" models is scant if not totally absent. here we review recent progress on understanding learning, based on the notion of ""relevance"". the relevance, as we define it here, quantifies the amount of information that a dataset or the internal representation of a learning machine contains on the generative model of the data. this allows us to define maximally informative samples, on one hand, and optimal learning machines on the other. these are ideal limits of samples and of machines, that contain the maximal amount of information about the unknown generative process, at a given resolution (or level of compression). both ideal limits exhibit critical features in the statistical sense: maximally informative samples are characterised by a power-law frequency distribution (statistical criticality) and optimal learning machines by an anomalously large susceptibility. the trade-off between resolution (i.e. compression) and relevance distinguishes the regime of noisy representations from that of lossy compression. these are separated by a special point characterised by zipf's law statistics. this identifies samples obeying zipf's law as the most compressed loss-less representations that are optimal in the sense of maximal relevance. criticality in optimal learning machines manifests in an exponential degeneracy of energy levels, that leads to unusual thermodynamic properties."                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,10.1016/j.physrep.2022.03.001                                           ,2022-02-01 ,           ,"['matteo marsili', 'yasser roudi']"
2202.00568 ,stochastic 2d signal generative model with wavelet packets basis   regarded as a random variable and bayes optimal processing                                                           ,eess.sp cs.lg                                            ,"this study deals with two-dimensional (2d) signal processing using the wavelet packet transform. when the basis is unknown the candidate of basis increases in exponential order with respect to the signal size. previous studies do not consider the basis as a random vaiables. therefore, the cost function needs to be used to select a basis. however, this method is often a heuristic and a greedy search because it is impossible to search all the candidates for a huge number of bases. therefore, it is difficult to evaluate the entire signal processing under a criterion and also it does not always gurantee the optimality of the entire signal processing. in this study, we propose a stochastic generative model in which the basis is regarded as a random variable. this makes it possible to evaluate entire signal processing under a unified criterion i.e. bayes criterion. moreover we can derive an optimal signal processing scheme that achieves the theoretical limit. this derived scheme shows that all the bases should be combined according to the posterior in stead of selecting a single basis. although exponential order calculations is required for this scheme, we have derived a recursive algorithm for this scheme, which successfully reduces the computational complexity from the exponential order to the polynomial order."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                        ,2022-01-26 ,2022-05-01 ,"['ryohei oka', 'yuta nakahara', 'toshiyasu matsushima']"
2202.01575 ,cost: contrastive learning of disentangled seasonal-trend   representations for time series forecasting                                                                                 ,cs.lg                                                    ,"deep learning has been actively studied for time series forecasting, and the mainstream paradigm is based on the end-to-end training of neural network architectures, ranging from classical lstm/rnns to more recent tcns and transformers. motivated by the recent success of representation learning in computer vision and natural language processing, we argue that a more promising paradigm for time series forecasting, is to first learn disentangled feature representations, followed by a simple regression fine-tuning step -- we justify such a paradigm from a causal perspective. following this principle, we propose a new time series representation learning framework for time series forecasting named cost, which applies contrastive learning methods to learn disentangled seasonal-trend representations. cost comprises both time domain and frequency domain contrastive losses to learn discriminative trend and seasonal representations, respectively. extensive experiments on real-world datasets show that cost consistently outperforms the state-of-the-art methods by a considerable margin, achieving a 21.3% improvement in mse on multivariate benchmarks. it is also robust to various choices of backbone encoders, as well as downstream regressors. code is available at https://github.com/salesforce/cost."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                        ,2022-02-03 ,2022-05-05 ,"['gerald woo', 'chenghao liu', 'doyen sahoo', 'akshat kumar', 'steven hoi']"
2202.01909 ,ad-datasets: a meta-collection of data sets for autonomous driving                                                                                                                      ,cs.lg                                                    ,"autonomous driving is among the largest domains in which deep learning has been fundamental for progress within the last years. the rise of datasets went hand in hand with this development. all the more striking is the fact that researchers do not have a tool available that provides a quick, comprehensive and up-to-date overview of data sets and their features in the domain of autonomous driving. in this paper, we present ad-datasets, an online tool that provides such an overview for more than 150 data sets. the tool enables users to sort and filter the data sets according to currently 16 different categories. ad-datasets is an open-source project with community contributions. it is in constant development, ensuring that the content stays up-to-date."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,10.5220/0011001900003191                                                ,2022-02-03 ,2022-05-03 ,"['daniel bogdoll', 'felix schreyer', 'j. marius zöllner']"
